ep_str,r_str,ep,r
Episode 0,Reward: 525.0,0,525
Episode 1,Reward: 25.0,1,25
Episode 2,Reward: 400.0,2,400
Episode 3,Reward: 50.0,3,50
Episode 4,Reward: 75.0,4,75
Episode 5,Reward: 50.0,5,50
Episode 6,Reward: 125.0,6,125
Episode 7,Reward: 75.0,7,75
Episode 8,Reward: 225.0,8,225
Episode 9,Reward: 575.0,9,575
Episode 10,Reward: 250.0,10,250
Episode 11,Reward: 100.0,11,100
Episode 12,Reward: 225.0,12,225
Episode 13,Reward: 250.0,13,250
Episode 14,Reward: 75.0,14,75
Episode 15,Reward: 175.0,15,175
Episode 16,Reward: 75.0,16,75
Episode 17,Reward: 525.0,17,525
Episode 18,Reward: 250.0,18,250
Episode 19,Reward: 175.0,19,175
Episode 20,Reward: 600.0,20,600
Episode 21,Reward: 100.0,21,100
Episode 22,Reward: 475.0,22,475
Episode 23,Reward: 200.0,23,200
Episode 24,Reward: 250.0,24,250
Episode 25,Reward: 425.0,25,425
Episode 26,Reward: 475.0,26,475
Episode 27,Reward: 475.0,27,475
Episode 28,Reward: 75.0,28,75
Episode 29,Reward: 150.0,29,150
Episode 30,Reward: 475.0,30,475
Episode 31,Reward: 625.0,31,625
Episode 32,Reward: 475.0,32,475
Episode 33,Reward: 375.0,33,375
Episode 34,Reward: 575.0,34,575
Episode 35,Reward: 375.0,35,375
Episode 36,Reward: 300.0,36,300
Episode 37,Reward: 500.0,37,500
Episode 38,Reward: 650.0,38,650
Episode 39,Reward: 175.0,39,175
Episode 40,Reward: 200.0,40,200
Episode 41,Reward: 575.0,41,575
Episode 42,Reward: 350.0,42,350
Episode 43,Reward: 575.0,43,575
Episode 44,Reward: 300.0,44,300
Episode 45,Reward: 575.0,45,575
Episode 46,Reward: 150.0,46,150
Episode 47,Reward: 650.0,47,650
Episode 48,Reward: 350.0,48,350
Episode 49,Reward: 325.0,49,325
Episode 50,Reward: 650.0,50,650
Episode 51,Reward: 325.0,51,325
Episode 52,Reward: 475.0,52,475
Episode 53,Reward: 500.0,53,500
Episode 54,Reward: 475.0,54,475
Episode 55,Reward: 600.0,55,600
Episode 56,Reward: 75.0,56,75
Episode 57,Reward: 150.0,57,150
Episode 58,Reward: 600.0,58,600
Episode 59,Reward: 175.0,59,175
Episode 60,Reward: 450.0,60,450
Episode 61,Reward: 600.0,61,600
Episode 62,Reward: 450.0,62,450
Episode 63,Reward: 175.0,63,175
Episode 64,Reward: 100.0,64,100
Episode 65,Reward: 500.0,65,500
Episode 66,Reward: 100.0,66,100
Episode 67,Reward: 750.0,67,750
Episode 68,Reward: 275.0,68,275
Episode 69,Reward: 150.0,69,150
Episode 70,Reward: 175.0,70,175
Episode 71,Reward: 475.0,71,475
Episode 72,Reward: 425.0,72,425
Episode 73,Reward: 550.0,73,550
Episode 74,Reward: 425.0,74,425
Episode 75,Reward: 550.0,75,550
Episode 76,Reward: 650.0,76,650
Episode 77,Reward: 450.0,77,450
Episode 78,Reward: 250.0,78,250
Episode 79,Reward: 575.0,79,575
Episode 80,Reward: 200.0,80,200
Episode 81,Reward: 250.0,81,250
Episode 82,Reward: 575.0,82,575
Episode 83,Reward: 75.0,83,75
Episode 84,Reward: 300.0,84,300
