ep_str,r_str,ep,r
Episode 0,Reward: 50.0,0,50
Episode 1,Reward: 50.0,1,50
Episode 2,Reward: 575.0,2,575
Episode 3,Reward: 100.0,3,100
Episode 4,Reward: 125.0,4,125
Episode 5,Reward: 1125.0,5,1125
Episode 6,Reward: 500.0,6,500
Episode 7,Reward: 300.0,7,300
Episode 8,Reward: 100.0,8,100
Episode 9,Reward: 25.0,9,25
Episode 10,Reward: 50.0,10,50
Episode 11,Reward: 200.0,11,200
Episode 12,Reward: 50.0,12,50
Episode 13,Reward: 75.0,13,75
Episode 14,Reward: 150.0,14,150
Episode 15,Reward: 225.0,15,225
Episode 16,Reward: 175.0,16,175
Episode 17,Reward: 50.0,17,50
Episode 18,Reward: 350.0,18,350
Episode 19,Reward: 100.0,19,100
Episode 20,Reward: 150.0,20,150
Episode 21,Reward: 100.0,21,100
Episode 22,Reward: 75.0,22,75
Episode 23,Reward: 100.0,23,100
Episode 24,Reward: 150.0,24,150
Episode 25,Reward: 100.0,25,100
Episode 26,Reward: 100.0,26,100
Episode 27,Reward: 150.0,27,150
Episode 28,Reward: 150.0,28,150
Episode 29,Reward: 475.0,29,475
Episode 30,Reward: 25.0,30,25
Episode 31,Reward: 125.0,31,125
Episode 32,Reward: 600.0,32,600
Episode 33,Reward: 725.0,33,725
Episode 34,Reward: 25.0,34,25
Episode 35,Reward: 50.0,35,50
Episode 36,Reward: 50.0,36,50
Episode 37,Reward: 100.0,37,100
Episode 38,Reward: 225.0,38,225
Episode 39,Reward: 100.0,39,100
Episode 40,Reward: 200.0,40,200
Episode 41,Reward: 175.0,41,175
Episode 42,Reward: 100.0,42,100
Episode 43,Reward: 25.0,43,25
Episode 44,Reward: 125.0,44,125
Episode 45,Reward: 575.0,45,575
Episode 46,Reward: 675.0,46,675
Episode 47,Reward: 1075.0,47,1075
Episode 48,Reward: 325.0,48,325
Episode 49,Reward: 200.0,49,200
Episode 50,Reward: 200.0,50,200
Episode 51,Reward: 600.0,51,600
Episode 52,Reward: 100.0,52,100
Episode 53,Reward: 125.0,53,125
Episode 54,Reward: 175.0,54,175
Episode 55,Reward: 600.0,55,600
Episode 56,Reward: 550.0,56,550
Episode 57,Reward: 325.0,57,325
Episode 58,Reward: 625.0,58,625
Episode 59,Reward: 75.0,59,75
Episode 60,Reward: 500.0,60,500
Episode 61,Reward: 250.0,61,250
Episode 62,Reward: 675.0,62,675
Episode 63,Reward: 600.0,63,600
Episode 64,Reward: 625.0,64,625
Episode 65,Reward: 75.0,65,75
Episode 66,Reward: 275.0,66,275
Episode 67,Reward: 450.0,67,450
Episode 68,Reward: 175.0,68,175
Episode 69,Reward: 550.0,69,550
Episode 70,Reward: 1125.0,70,1125
Episode 71,Reward: 500.0,71,500
Episode 72,Reward: 200.0,72,200
Episode 73,Reward: 275.0,73,275
Episode 74,Reward: 125.0,74,125
Episode 75,Reward: 650.0,75,650
Episode 76,Reward: 200.0,76,200
Episode 77,Reward: 250.0,77,250
Episode 78,Reward: 500.0,78,500
Episode 79,Reward: 350.0,79,350
Episode 80,Reward: 350.0,80,350
Episode 81,Reward: 125.0,81,125
Episode 82,Reward: 225.0,82,225
Episode 83,Reward: 225.0,83,225
Episode 84,Reward: 450.0,84,450
Episode 85,Reward: 225.0,85,225
Episode 86,Reward: 800.0,86,800
Episode 87,Reward: 700.0,87,700
Episode 88,Reward: 375.0,88,375
Episode 89,Reward: 250.0,89,250
Episode 90,Reward: 500.0,90,500
Episode 91,Reward: 100.0,91,100
Episode 92,Reward: 50.0,92,50
Episode 93,Reward: 275.0,93,275
Episode 94,Reward: 300.0,94,300
Episode 95,Reward: 125.0,95,125
Episode 96,Reward: 100.0,96,100
Episode 97,Reward: 125.0,97,125
Episode 98,Reward: 225.0,98,225
Episode 99,Reward: 75.0,99,75
Episode 100,Reward: 50.0,100,50
Episode 101,Reward: 225.0,101,225
Episode 102,Reward: 225.0,102,225
Episode 103,Reward: 125.0,103,125
Episode 104,Reward: 75.0,104,75
Episode 105,Reward: 75.0,105,75
Episode 106,Reward: 0.0,106,0
Episode 107,Reward: 125.0,107,125
Episode 108,Reward: 0.0,108,0
Episode 109,Reward: 50.0,109,50
Episode 110,Reward: 0.0,110,0
Episode 111,Reward: 50.0,111,50
Episode 112,Reward: 75.0,112,75
Episode 113,Reward: 150.0,113,150
Episode 114,Reward: 175.0,114,175
Episode 115,Reward: 0.0,115,0
Episode 116,Reward: 175.0,116,175
Episode 117,Reward: 200.0,117,200
Episode 118,Reward: 0.0,118,0
Episode 119,Reward: 0.0,119,0
Episode 120,Reward: 0.0,120,0
Episode 121,Reward: 175.0,121,175
Episode 122,Reward: 175.0,122,175
Episode 123,Reward: 200.0,123,200
Episode 124,Reward: 175.0,124,175
Episode 125,Reward: 75.0,125,75
Episode 126,Reward: 75.0,126,75
Episode 127,Reward: 50.0,127,50
Episode 128,Reward: 475.0,128,475
Episode 129,Reward: 150.0,129,150
Episode 130,Reward: 75.0,130,75
Episode 131,Reward: 125.0,131,125
Episode 132,Reward: 175.0,132,175
Episode 133,Reward: 100.0,133,100
Episode 134,Reward: 0.0,134,0
Episode 135,Reward: 175.0,135,175
Episode 136,Reward: 400.0,136,400
