ep_str,r_str,ep,r
Episode 0,Reward: 150.0,0,150
Episode 1,Reward: 50.0,1,50
Episode 2,Reward: 225.0,2,225
Episode 3,Reward: 150.0,3,150
Episode 4,Reward: 25.0,4,25
Episode 5,Reward: 300.0,5,300
Episode 6,Reward: 75.0,6,75
Episode 7,Reward: 50.0,7,50
Episode 8,Reward: 200.0,8,200
Episode 9,Reward: 75.0,9,75
Episode 10,Reward: 50.0,10,50
Episode 11,Reward: 250.0,11,250
Episode 12,Reward: 125.0,12,125
Episode 13,Reward: 175.0,13,175
Episode 14,Reward: 75.0,14,75
Episode 15,Reward: 25.0,15,25
Episode 16,Reward: 100.0,16,100
Episode 17,Reward: 75.0,17,75
Episode 18,Reward: 125.0,18,125
Episode 19,Reward: 175.0,19,175
Episode 20,Reward: 100.0,20,100
Episode 21,Reward: 225.0,21,225
Episode 22,Reward: 150.0,22,150
Episode 23,Reward: 250.0,23,250
Episode 24,Reward: 450.0,24,450
Episode 25,Reward: 200.0,25,200
Episode 26,Reward: 150.0,26,150
Episode 27,Reward: 525.0,27,525
Episode 28,Reward: 500.0,28,500
Episode 29,Reward: 75.0,29,75
Episode 30,Reward: 125.0,30,125
Episode 31,Reward: 525.0,31,525
Episode 32,Reward: 275.0,32,275
Episode 33,Reward: 150.0,33,150
Episode 34,Reward: 600.0,34,600
Episode 35,Reward: 250.0,35,250
Episode 36,Reward: 175.0,36,175
Episode 37,Reward: 225.0,37,225
Episode 38,Reward: 75.0,38,75
Episode 39,Reward: 225.0,39,225
Episode 40,Reward: 775.0,40,775
Episode 41,Reward: 125.0,41,125
Episode 42,Reward: 250.0,42,250
Episode 43,Reward: 300.0,43,300
Episode 44,Reward: 50.0,44,50
Episode 45,Reward: 475.0,45,475
Episode 46,Reward: 200.0,46,200
Episode 47,Reward: 550.0,47,550
Episode 48,Reward: 150.0,48,150
Episode 49,Reward: 200.0,49,200
Episode 50,Reward: 100.0,50,100
Episode 51,Reward: 625.0,51,625
Episode 52,Reward: 150.0,52,150
Episode 53,Reward: 575.0,53,575
Episode 54,Reward: 175.0,54,175
Episode 55,Reward: 600.0,55,600
Episode 56,Reward: 250.0,56,250
Episode 57,Reward: 225.0,57,225
Episode 58,Reward: 575.0,58,575
Episode 59,Reward: 325.0,59,325
Episode 60,Reward: 325.0,60,325
Episode 61,Reward: 600.0,61,600
Episode 62,Reward: 600.0,62,600
Episode 63,Reward: 1150.0,63,1150
Episode 64,Reward: 150.0,64,150
Episode 65,Reward: 600.0,65,600
Episode 66,Reward: 225.0,66,225
Episode 67,Reward: 600.0,67,600
Episode 68,Reward: 275.0,68,275
Episode 69,Reward: 150.0,69,150
Episode 70,Reward: 175.0,70,175
Episode 71,Reward: 525.0,71,525
Episode 72,Reward: 225.0,72,225
Episode 73,Reward: 600.0,73,600
Episode 74,Reward: 125.0,74,125
Episode 75,Reward: 500.0,75,500
Episode 76,Reward: 475.0,76,475
Episode 77,Reward: 200.0,77,200
Episode 78,Reward: 200.0,78,200
Episode 79,Reward: 100.0,79,100
Episode 80,Reward: 275.0,80,275
